ICSD_code,space_group
1000,F m -3 m
100018,P -4 3 n
10009,F -4 3 m
100098,I 2 3
100099,I 2 3
1001,F m -3 m
100102,P -4 3 n
100149,I -4 3 d
100174,I -4 3 d
100179,I -4 3 m
100195,F d -3 m Z
100202,P a -3
100219,P 21 3
100258,I a -3 d
100267,F -4 3 m
100268,F -4 3 m
100290,I -4 3 m
100309,F -4 3 m
10035,F d -3 m S
100393,F d -3 m Z
100401,P a -3
100420,P 21 3
10046,P 41 3 2
100510,P a -3
100517,P n -3 Z
100518,F d -3 m Z
10052,F m -3 m
100522,I -4 3 d
100529,F d -3 m Z
100530,F d -3 m Z
100531,F d -3 m Z
100532,F d -3 m Z
100544,F d -3 m Z
100545,F d -3 m Z
100547,F d -3 m Z
100548,F d -3 m Z
100549,F d -3 m Z
100550,F d -3 m Z
100551,F d -3 m Z
100552,F d -3 m Z
100569,I 2 3
100570,I 2 3
100614,I a -3 d
100615,I a -3 d
100616,I a -3 d
100617,I a -3 d
100618,I a -3 d
100619,I a -3 d
100620,I a -3 d
100621,I a -3 d
100622,I a -3 d
100728,F d -3 Z
100731,I a -3 d
100787,P m -3 m
100789,P m -3 m
100823,P n -3 Z
100839,F d -3 m Z
100840,F d -3 m Z
100851,I m -3
100852,I m -3
100856,P a -3
100857,P a -3
100860,F d -3 m Z
100861,F d -3 m Z
100862,F d -3 m Z
100863,F d -3 m Z
100864,F d -3 m Z
100878,P a -3
10112,P m -3 m
10113,P m -3 m
10122,P m -3 m
10160,P m -3 m
10172,P n -3 Z
10179,F m -3 m
10180,F m -3 m
10181,F m -3 m
10197,P n -3 n Z
102010,I m -3 m
102032,P m -3
102038,F d -3 m Z
102039,P -4 3 m
102045,I m -3 m
102056,P -4 3 m
102072,P -4 3 m
102089,I 2 3
102148,I m -3 m
102273,P m -3 n
1023,I -4 3 m
102351,P m -3 n
102352,P m -3 n
102353,P m -3 n
102354,P m -3 n
102356,P m -3 n
102358,P m -3 n
102359,P m -3 n
102381,I m -3 m
102382,I m -3 m
102383,I m -3 m
10251,F 2 3
102513,F m -3 c
10255,F d -3 c Z
102606,F d -3 m S
102712,I 21 3
102758,I -4 3 m
10288,P m -3 m
102918,I m -3
102990,F m -3 c
103090,F m -3 c
103158,I -4 3 m
103347,F d -3 m Z
10335,P m -3 n
103395,I -4 3 m
103434,I -4 3 d
103446,F m -3 c
10362,F d -3 m Z
103620,P m -3
10363,F d -3 m Z
10364,F d -3 m S
103708,I -4 3 m
103711,F -4 3 m
103737,I 2 3
103863,I 2 3
103910,I m -3 m
103939,I 21 3
103975,P 21 3
104070,F -4 3 m
104100,I m -3
104129,P m -3 n
104196,F -4 3 m
10420,I -4 3 d
10438,F m -3 m
104380,F d -3 m S
10439,F m -3 m
104393,P 41 3 2
10440,I -4 3 d
10441,I -4 3 d
104616,P 21 3
104654,I -4 3 m
104715,P m -3 n
104766,F 2 3
10480,P 43 3 2
104861,F -4 3 m
104862,P 41 3 2
104888,I -4 3 m
104898,P m -3
104935,F d -3 m S
1050,I m -3 m
1051,I m -3 m
10510,F -4 3 m
105162,F d -3 m Z
105167,I -4 3 d
105170,F d -3 m S
105172,F m -3 c
105173,F m -3 c
105208,I -4 3 m
105374,I -4 3 d
105431,F -4 3 m
105432,F -4 3 m
105475,I -4 3 m
105510,F d -3 m S
105544,I m -3
105545,I m -3
105565,F -4 3 m
105756,I -4 3 m
105891,I -4 3 m
105922,P m -3
105923,I m -3
105936,P m -3 n
106043,I m -3
106238,F d -3 m S
106251,F -4 3 m
106322,I -4 3 d
106361,F d -3 m S
106380,F m -3 c
106400,F -4 3 m
106482,F d -3 m S
106534,I m -3
